# Profil de Blasius - Comparaison 3 methodes
# Equation : f''' + 0.5*f*f'' = 0
# CL : f(0)=f'(0)=0, f'(inf)=1
# Parametre de similarite : eta = psi * sqrt(U_inf / (nu * xi))
# Vitesse normalisee : u/U_inf = f'(eta)
#
# Colonnes : eta  f'_RK4  f'_RK2  f'_Euler  f_RK4  f''_RK4
#
1.735000  0.55621221  0.55621175  0.55511663  0.49275983  0.28766939
1.740000  0.55764967  0.55764921  0.55655337  0.49554449  0.28731423
1.745000  0.55908535  0.55908489  0.55798834  0.49833633  0.28695750
1.750000  0.56051924  0.56051878  0.55942155  0.50113534  0.28659922
1.755000  0.56195134  0.56195088  0.56085298  0.50394152  0.28623938
1.760000  0.56338164  0.56338117  0.56228263  0.50675485  0.28587798
1.765000  0.56481012  0.56480965  0.56371049  0.50957533  0.28551503
1.770000  0.56623678  0.56623632  0.56513655  0.51240295  0.28515053
1.775000  0.56766162  0.56766116  0.56656079  0.51523770  0.28478447
1.780000  0.56908463  0.56908416  0.56798323  0.51807956  0.28441687
1.785000  0.57050579  0.57050532  0.56940384  0.52092854  0.28404772
1.790000  0.57192510  0.57192464  0.57082262  0.52378462  0.28367703
1.795000  0.57334256  0.57334209  0.57223956  0.52664779  0.28330479
1.800000  0.57475815  0.57475768  0.57365466  0.52951804  0.28293102
1.805000  0.57617186  0.57617140  0.57506790  0.53239537  0.28255571
1.810000  0.57758370  0.57758324  0.57647928  0.53527975  0.28217886
1.815000  0.57899365  0.57899319  0.57788879  0.53817120  0.28180048
1.820000  0.58040170  0.58040124  0.57929642  0.54106969  0.28142058
1.825000  0.58180785  0.58180739  0.58070217  0.54397521  0.28103915
1.830000  0.58321209  0.58321163  0.58210603  0.54688776  0.28065619
1.835000  0.58461441  0.58461395  0.58350799  0.54980733  0.28027171
1.840000  0.58601481  0.58601435  0.58490804  0.55273390  0.27988571
1.845000  0.58741327  0.58741281  0.58630617  0.55566748  0.27949820
1.850000  0.58880979  0.58880933  0.58770239  0.55860803  0.27910917
1.855000  0.59020436  0.59020390  0.58909667  0.56155557  0.27871864
1.860000  0.59159697  0.59159651  0.59048902  0.56451007  0.27832659
1.865000  0.59298762  0.59298716  0.59187942  0.56747154  0.27793305
